"p21","p22"
3.7044279747151503,6
"x","f(x;p_2)"
-10.,-3698.4
-9.9,-3588.4
-9.8,-3480.6
-9.7,-3374.9
-9.6,-3271.4
-9.5,-3170.1
-9.4,-3070.8
-9.3,-2973.7
-9.2,-2878.6
-9.1,-2785.5
-9.,-2694.5
-8.9,-2605.5
-8.8,-2518.5
-8.7,-2433.4
-8.6,-2350.2
-8.5,-2269.
-8.4,-2189.6
-8.3,-2112.1
-8.2,-2036.5
-8.1,-1962.7
-8.,-1890.7
-7.9,-1820.4
-7.8,-1751.9
-7.7,-1685.2
-7.6,-1620.2
-7.5,-1556.8
-7.4,-1495.1
-7.3,-1435.1
-7.2,-1376.7
-7.1,-1319.9
-7.,-1264.6
-6.9,-1210.9
-6.8,-1158.8
-6.7,-1108.2
-6.6,-1059.
-6.5,-1011.3
-6.4,-965.09
-6.3,-920.28
-6.2,-876.87
-6.1,-834.83
-6.,-794.16
-5.9,-754.81
-5.8,-716.78
-5.7,-680.03
-5.6,-644.56
-5.5,-610.32
-5.4,-577.31
-5.3,-545.5
-5.2,-514.87
-5.1,-485.4
-5.,-457.05
-4.9,-429.82
-4.8,-403.68
-4.7,-378.6
-4.6,-354.57
-4.5,-331.57
-4.4,-309.56
-4.3,-288.53
-4.2,-268.45
-4.1,-249.31
-4.,-231.08
-3.9,-213.74
-3.8,-197.27
-3.7,-181.64
-3.6,-166.83
-3.5,-152.83
-3.4,-139.6
-3.3,-127.13
-3.2,-115.39
-3.1,-104.36
-3.,-94.02
-2.9,-84.347
-2.8,-75.32
-2.7,-66.914
-2.6,-59.109
-2.5,-51.882
-2.4,-45.21
-2.3,-39.072
-2.2,-33.445
-2.1,-28.307
-2.,-23.635
-1.9,-19.409
-1.8,-15.604
-1.7,-12.2
-1.6,-9.1733
-1.5,-6.5024
-1.4,-4.165
-1.3,-2.1386
-1.2,-0.40125
-1.1,1.0694
-1.,2.2956
-0.9,3.2995
-0.8,4.1033
-0.7,4.7294
-0.6,5.1998
-0.5,5.5369
-0.4,5.7629
-0.3,5.9
-0.2,5.9704
-0.1,5.9963
0,6.
0.1,6.0037
0.2,6.0296
0.3,6.1
0.4,6.2371
0.5,6.4631
0.6,6.8002
0.7,7.2706
0.8,7.8967
0.9,8.7005
1.,9.7044
1.1,10.931
1.2,12.401
1.3,14.139
1.4,16.165
1.5,18.502
1.6,21.173
1.7,24.2
1.8,27.604
1.9,31.409
2.,35.635
2.1,40.307
2.2,45.445
2.3,51.072
2.4,57.21
2.5,63.882
2.6,71.109
2.7,78.914
2.8,87.32
2.9,96.347
3.,106.02
3.1,116.36
3.2,127.39
3.3,139.13
3.4,151.6
3.5,164.83
3.6,178.83
3.7,193.64
3.8,209.27
3.9,225.74
4.,243.08
4.1,261.31
4.2,280.45
4.3,300.53
4.4,321.56
4.5,343.57
4.6,366.57
4.7,390.6
4.8,415.68
4.9,441.82
5.,469.05
5.1,497.4
5.2,526.87
5.3,557.5
5.4,589.31
5.5,622.32
5.6,656.56
5.7,692.03
5.8,728.78
5.9,766.81
6.,806.16
6.1,846.83
6.2,888.87
6.3,932.28
6.4,977.09
6.5,1023.3
6.6,1071.
6.7,1120.2
6.8,1170.8
6.9,1222.9
7.,1276.6
7.1,1331.9
7.2,1388.7
7.3,1447.1
7.4,1507.1
7.5,1568.8
7.6,1632.2
7.7,1697.2
7.8,1763.9
7.9,1832.4
8.,1902.7
8.1,1974.7
8.2,2048.5
8.3,2124.1
8.4,2201.6
8.5,2281.
8.6,2362.2
8.7,2445.4
8.8,2530.5
8.9,2617.5
9.,2706.5
9.1,2797.5
9.2,2890.6
9.3,2985.7
9.4,3082.8
9.5,3182.1
9.6,3283.4
9.7,3386.9
9.8,3492.6
9.9,3600.4
10.,3710.4
