"""""*""a""","""""*""b"""
"2*""""","3*"""""
"""""*""x""","""""*""f(x;a,b)"""
"-5.`2.*""""","-75.4000000000000056843`2.*"""""
"-4.9000000000000003553`2.*""""","-72.4381632653061444671`2.*"""""
"-4.7999999999999998224`2.*""""","-69.5366666666666759511`2.*"""""
"-4.7000000000000001776`2.*""""","-66.6955319148936212059`2.*"""""
"-4.5999999999999996447`2.*""""","-63.9147826086956385438`2.*"""""
"-4.5`2.*""""","-61.1944444444444428655`2.*"""""
"-4.4000000000000003553`2.*""""","-58.5345454545454657591`2.*"""""
"-4.2999999999999998224`2.*""""","-55.9351162790697671312`2.*"""""
"-4.2000000000000001776`2.*""""","-53.396190476190476204`2.*"""""
"-4.0999999999999996447`2.*""""","-50.9178048780487699787`2.*"""""
"-4.`2.*""""","-48.5`2.*"""""
"-3.8999999999999999112`2.*""""","-46.1428205128205064511`2.*"""""
"-3.7999999999999998224`2.*""""","-43.8463157894736852427`2.*"""""
"-3.7000000000000001776`2.*""""","-41.6105405405405477381`2.*"""""
"-3.5999999999999996447`2.*""""","-39.4355555555555525871`2.*"""""
"-3.5`2.*""""","-37.3214285714285693984`2.*"""""
"-3.3999999999999999112`2.*""""","-35.2682352941176375793`2.*"""""
"-3.2999999999999998224`2.*""""","-33.2760606060606036749`2.*"""""
"-3.2000000000000001776`2.*""""","-31.3450000000000059686`2.*"""""
"-3.0999999999999996447`2.*""""","-29.4751612903225712614`2.*"""""
"-3.`2.*""""","-27.6666666666666678509`2.*"""""
"-2.8999999999999999112`2.*""""","-25.9196551724137940198`2.*"""""
"-2.7999999999999998224`2.*""""","-24.2342857142857113217`2.*"""""
"-2.6999999999999997335`2.*""""","-22.6107407407407343669`2.*"""""
"-2.5999999999999996447`2.*""""","-21.0492307692307640821`2.*"""""
"-2.5`2.*""""","-19.5500000000000007105`2.*"""""
"-2.3999999999999999112`2.*""""","-18.113333333333333286`2.*"""""
"-2.2999999999999998224`2.*""""","-16.7395652173913020988`2.*"""""
"-2.1999999999999997335`2.*""""","-15.4290909090909060808`2.*"""""
"-2.0999999999999996447`2.*""""","-14.1823809523809476474`2.*"""""
"-2.`2.*""""","-13.`2.*"""""
"-1.8999999999999999112`2.*""""","-11.8826315789473682116`2.*"""""
"-1.7999999999999998224`2.*""""","-10.8311111111111095795`2.*"""""
"-1.6999999999999997335`2.*""""","-9.8464705882352916433`2.*"""""
"-1.5999999999999996447`2.*""""","-8.9299999999999961631`2.*"""""
"-1.5`2.*""""","-8.0833333333333339255`2.*"""""
"-1.3999999999999999112`2.*""""","-7.3085714285714278304`2.*"""""
"-1.2999999999999998224`2.*""""","-6.6084615384615368328`2.*"""""
"-1.1999999999999997335`2.*""""","-5.9866666666666645824`2.*"""""
"-1.0999999999999996447`2.*""""","-5.4481818181818173485`2.*"""""
"-1.`2.*""""","-5.`2.*"""""
"-0.8999999999999994671`2.*""""","-4.6522222222222211485`2.*"""""
"-0.7999999999999998224`2.*""""","-4.4199999999999999289`2.*"""""
"-0.7000000000000001776`2.*""""","-4.3271428571428574017`2.*"""""
"-0.5999999999999996447`2.*""""","-4.4133333333333339965`2.*"""""
"-0.5`2.*""""","-4.75`2.*"""""
"-0.3999999999999994671`2.*""""","-5.4800000000000057554`2.*"""""
"-0.2999999999999998224`2.*""""","-6.9366666666666700891`2.*"""""
"-0.1999999999999992895`2.*""""","-10.1200000000000347455`2.*"""""
"-0.0999999999999996447`2.*""""","-20.0300000000000721911`2.*"""""
0,"1.`2.*"""""
"0.1000000000000005329`2.*""""","19.9699999999998922817`2.*"""""
"0.2000000000000001776`2.*""""","9.8799999999999901235`2.*"""""
"0.3000000000000007105`2.*""""","6.3966666666666496255`2.*"""""
"0.4000000000000003553`2.*""""","4.5199999999999942446`2.*"""""
"0.5`2.*""""","3.25`2.*"""""
"0.6000000000000005329`2.*""""","2.2533333333333285253`2.*"""""
"0.7000000000000001776`2.*""""","1.3871428571428554566`2.*"""""
"0.8000000000000007105`2.*""""","0.5799999999999942979`2.*"""""
"0.9000000000000003553`2.*""""","-0.2077777777777805035`2.*"""""
"1.`2.*""""","-1.`2.*"""""
"1.1000000000000005329`2.*""""","-1.8118181818181862131`2.*"""""
"1.2000000000000001776`2.*""""","-2.6533333333333346538`2.*"""""
"1.3000000000000007105`2.*""""","-3.5315384615384681766`2.*"""""
"1.4000000000000003553`2.*""""","-4.4514285714285755091`2.*"""""
"1.5`2.*""""","-5.4166666666666669627`2.*"""""
"1.6000000000000005329`2.*""""","-6.4300000000000050449`2.*"""""
"1.7000000000000001776`2.*""""","-7.4935294117647082146`2.*"""""
"1.8000000000000007105`2.*""""","-8.6088888888888970286`2.*"""""
"1.9000000000000003553`2.*""""","-9.7773684210526354832`2.*"""""
"2.`2.*""""","-11.`2.*"""""
"2.1000000000000005329`2.*""""","-12.2776190476190532053`2.*"""""
"2.2000000000000001776`2.*""""","-13.6109090909090948429`2.*"""""
