"a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b","a","b"
3,4,2,-4,5,2,2,7,5,2,4,6,1,7,1,-7,5,-4,2,-6
"x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)","x","f(x;a,b)"
-5.,-100.6,-5.,99.6,-5.,-51.,-5.,-175.4,-5.,-51.,-5.,-150.8,-5.,-175.2,-5.,174.8,-5.,99.,-5.,149.6
-4.9,-96.65,-4.9,95.63,-4.9,-49.04,-4.9,-168.5,-4.9,-49.04,-4.9,-144.9,-4.9,-168.3,-4.9,167.9,-4.9,95.02,-4.9,143.7
-4.8,-92.78,-4.8,91.74,-4.8,-47.12,-4.8,-161.7,-4.8,-47.12,-4.8,-139.1,-4.8,-161.5,-4.8,161.1,-4.8,91.12,-4.8,137.8
-4.7,-89.,-4.7,87.93,-4.7,-45.24,-4.7,-155.1,-4.7,-45.24,-4.7,-133.4,-4.7,-154.8,-4.7,154.4,-4.7,87.3,-4.7,132.1
-4.6,-85.29,-4.6,84.21,-4.6,-43.41,-4.6,-148.6,-4.6,-43.41,-4.6,-127.8,-4.6,-148.3,-4.6,147.9,-4.6,83.55,-4.6,126.5
-4.5,-81.67,-4.5,80.56,-4.5,-41.61,-4.5,-142.2,-4.5,-41.61,-4.5,-122.4,-4.5,-142.,-4.5,141.5,-4.5,79.89,-4.5,121.1
-4.4,-78.12,-4.4,76.99,-4.4,-39.86,-4.4,-136.,-4.4,-39.86,-4.4,-117.1,-4.4,-135.7,-4.4,135.3,-4.4,76.3,-4.4,115.7
-4.3,-74.66,-4.3,73.49,-4.3,-38.14,-4.3,-129.9,-4.3,-38.14,-4.3,-111.9,-4.3,-129.7,-4.3,129.2,-4.3,72.8,-4.3,110.5
-4.2,-71.27,-4.2,70.08,-4.2,-36.47,-4.2,-124.,-4.2,-36.47,-4.2,-106.8,-4.2,-123.7,-4.2,123.2,-4.2,69.37,-4.2,105.4
-4.1,-67.97,-4.1,66.75,-4.1,-34.84,-4.1,-118.2,-4.1,-34.84,-4.1,-101.8,-4.1,-117.9,-4.1,117.4,-4.1,66.02,-4.1,100.4
-4.,-64.75,-4.,63.5,-4.,-33.25,-4.,-112.5,-4.,-33.25,-4.,-97.,-4.,-112.3,-4.,111.7,-4.,62.75,-4.,95.5
-3.9,-61.61,-3.9,60.33,-3.9,-31.7,-3.9,-107.,-3.9,-31.7,-3.9,-92.29,-3.9,-106.7,-3.9,106.2,-3.9,59.56,-3.9,90.75
-3.8,-58.55,-3.8,57.23,-3.8,-30.2,-3.8,-101.6,-3.8,-30.2,-3.8,-87.69,-3.8,-101.3,-3.8,100.8,-3.8,56.44,-3.8,86.11
-3.7,-55.57,-3.7,54.22,-3.7,-28.73,-3.7,-96.37,-3.7,-28.73,-3.7,-83.22,-3.7,-96.1,-3.7,95.56,-3.7,53.41,-3.7,81.6
-3.6,-52.67,-3.6,51.28,-3.6,-27.31,-3.6,-91.28,-3.6,-27.31,-3.6,-78.87,-3.6,-91.,-3.6,90.44,-3.6,50.45,-3.6,77.2
-3.5,-49.86,-3.5,48.43,-3.5,-25.93,-3.5,-86.32,-3.5,-25.93,-3.5,-74.64,-3.5,-86.04,-3.5,85.46,-3.5,47.57,-3.5,72.93
-3.4,-47.12,-3.4,45.65,-3.4,-24.59,-3.4,-81.51,-3.4,-24.59,-3.4,-70.54,-3.4,-81.21,-3.4,80.63,-3.4,44.77,-3.4,68.77
-3.3,-44.47,-3.3,42.95,-3.3,-23.3,-3.3,-76.84,-3.3,-23.3,-3.3,-66.55,-3.3,-76.53,-3.3,75.93,-3.3,42.04,-3.3,64.73
-3.2,-41.9,-3.2,40.34,-3.2,-22.04,-3.2,-72.31,-3.2,-22.04,-3.2,-62.69,-3.2,-71.99,-3.2,71.37,-3.2,39.4,-3.2,60.82
-3.1,-39.41,-3.1,37.79,-3.1,-20.83,-3.1,-67.92,-3.1,-20.83,-3.1,-58.95,-3.1,-67.59,-3.1,66.95,-3.1,36.83,-3.1,57.01
-3.,-37.,-3.,35.33,-3.,-19.67,-3.,-63.67,-3.,-19.67,-3.,-55.33,-3.,-63.33,-3.,62.67,-3.,34.33,-3.,53.33
-2.9,-34.67,-2.9,32.95,-2.9,-18.54,-2.9,-59.56,-2.9,-18.54,-2.9,-51.84,-2.9,-59.21,-2.9,58.53,-2.9,31.92,-2.9,49.77
-2.8,-32.43,-2.8,30.65,-2.8,-17.47,-2.8,-55.59,-2.8,-17.47,-2.8,-48.47,-2.8,-55.24,-2.8,54.52,-2.8,29.57,-2.8,46.33
-2.7,-30.27,-2.7,28.42,-2.7,-16.43,-2.7,-51.77,-2.7,-16.43,-2.7,-45.22,-2.7,-51.4,-2.7,50.66,-2.7,27.31,-2.7,43.
-2.6,-28.19,-2.6,26.27,-2.6,-15.44,-2.6,-48.09,-2.6,-15.44,-2.6,-42.1,-2.6,-47.7,-2.6,46.94,-2.6,25.12,-2.6,39.79
-2.5,-26.2,-2.5,24.2,-2.5,-14.5,-2.5,-44.55,-2.5,-14.5,-2.5,-39.1,-2.5,-44.15,-2.5,43.35,-2.5,23.,-2.5,36.7
-2.4,-24.29,-2.4,22.21,-2.4,-13.6,-2.4,-41.15,-2.4,-13.6,-2.4,-36.23,-2.4,-40.74,-2.4,39.9,-2.4,20.96,-2.4,33.73
-2.3,-22.46,-2.3,20.29,-2.3,-12.75,-2.3,-37.9,-2.3,-12.75,-2.3,-33.48,-2.3,-37.46,-2.3,36.6,-2.3,18.99,-2.3,30.87
-2.2,-20.72,-2.2,18.45,-2.2,-11.95,-2.2,-34.79,-2.2,-11.95,-2.2,-30.86,-2.2,-34.33,-2.2,33.43,-2.2,17.09,-2.2,28.13
-2.1,-19.07,-2.1,16.69,-2.1,-11.2,-2.1,-31.82,-2.1,-11.2,-2.1,-28.36,-2.1,-31.35,-2.1,30.39,-2.1,15.26,-2.1,25.51
-2.,-17.5,-2.,15.,-2.,-10.5,-2.,-29.,-2.,-10.5,-2.,-26.,-2.,-28.5,-2.,27.5,-2.,13.5,-2.,23.
