"a","b","a","b"
-1,-2,2,3
"x","f(x;a,b)","x","f(x;a,b)"
-2.5,12.9,-2.5,-19.55
-2.4,11.936666666666666,-2.4,-18.113333333333333
-2.3,11.01478260869565,-2.3,-16.739565217391302
-2.2,10.134545454545457,-2.2,-15.429090909090911
-2.1,9.296190476190477,-2.1,-14.182380952380953
-2.,8.5,-2.,-13.
-1.9,7.746315789473684,-1.9,-11.882631578947368
-1.7999999999999998,7.035555555555554,-1.7999999999999998,-10.83111111111111
-1.7,6.368235294117646,-1.7,-9.846470588235292
-1.6,5.745000000000001,-1.6,-8.930000000000001
-1.5,5.166666666666667,-1.5,-8.083333333333334
-1.4,4.6342857142857135,-1.4,-7.308571428571428
-1.2999999999999998,4.149230769230768,-1.2999999999999998,-6.608461538461537
-1.2,3.7133333333333334,-1.2,-5.986666666666667
-1.0999999999999999,3.3290909090909087,-1.0999999999999999,-5.448181818181817
-1.,3.,-1.,-5.
-0.8999999999999999,2.731111111111111,-0.8999999999999999,-4.652222222222222
-0.7999999999999998,2.5299999999999994,-0.7999999999999998,-4.42
-0.7,2.4085714285714284,-0.7,-4.3271428571428565
-0.5999999999999999,2.3866666666666667,-0.5999999999999999,-4.413333333333333
-0.5,2.5,-0.5,-4.75
-0.3999999999999999,2.8200000000000003,-0.3999999999999999,-5.48
-0.2999999999999998,3.513333333333335,-0.2999999999999998,-6.93666666666667
-0.19999999999999973,5.080000000000007,-0.19999999999999973,-10.120000000000013
-0.09999999999999964,10.020000000000035,-0.09999999999999964,-20.030000000000072
0.,1,0.,1
0.10000000000000009,-9.979999999999992,0.10000000000000009,19.96999999999998
0.20000000000000018,-4.9199999999999955,0.20000000000000018,9.87999999999999
0.30000000000000027,-3.15333333333333,0.30000000000000027,6.39666666666666
0.40000000000000036,-2.179999999999997,0.40000000000000036,4.519999999999994
0.5,-1.5,0.5,3.25
0.6000000000000001,-0.9466666666666663,0.6000000000000001,2.253333333333333
0.7000000000000002,-0.4485714285714276,0.7000000000000002,1.3871428571428555
0.8000000000000003,0.03000000000000136,0.8000000000000003,0.5799999999999979
0.9000000000000004,0.5088888888888905,0.9000000000000004,-0.2077777777777805
1.,1.,1.,-1.
1.1,1.5109090909090912,1.1,-1.8118181818181827
1.2000000000000002,2.0466666666666677,1.2000000000000002,-2.6533333333333347
1.3000000000000003,2.610769230769232,1.3000000000000003,-3.5315384615384637
1.4000000000000004,3.205714285714288,1.4000000000000004,-4.4514285714285755
1.5,3.8333333333333335,1.5,-5.416666666666667
1.6000000000000005,4.495000000000004,1.6000000000000005,-6.430000000000005
1.7000000000000002,5.191764705882354,1.7000000000000002,-7.493529411764708
1.7999999999999998,5.924444444444443,1.7999999999999998,-8.608888888888888
1.9000000000000004,6.693684210526318,1.9000000000000004,-9.777368421052635
2.,7.5,2.,-11.
2.1000000000000005,8.343809523809528,2.1000000000000005,-12.277619047619053
2.2,9.225454545454546,2.2,-13.610909090909095
2.3000000000000007,10.145217391304355,2.3000000000000007,-15.000434782608707
2.4000000000000004,11.103333333333337,2.4000000000000004,-16.446666666666673
2.5,12.1,2.5,-17.95
