"a","b"
5,-8
"x","f(x;a,b)"
-5.,199.
-4.9,191.1
-4.8,183.3
-4.7,175.7
-4.6,168.2
-4.5,160.9
-4.4,153.7
-4.3,146.8
-4.2,139.9
-4.1,133.3
-4.,126.7
-3.9,120.4
-3.8,114.2
-3.7,108.2
-3.6,102.3
-3.5,96.57
-3.4,91.01
-3.3,85.6
-3.2,80.36
-3.1,75.27
-3.,70.33
-2.9,65.56
-2.8,60.93
-2.7,56.47
-2.6,52.16
-2.5,48.
-2.4,44.
-2.3,40.15
-2.2,36.45
-2.1,32.9
-2.,29.5
-1.9,26.25
-1.8,23.14
-1.7,20.18
-1.6,17.35
-1.5,14.67
-1.4,12.11
-1.3,9.674
-1.2,7.353
-1.1,5.135
-1.,3.
-0.9,0.9244
-0.8,-1.13
-0.7,-3.223
-0.6,-5.453
-0.5,-8.
-0.4,-11.22
-0.3,-15.95
-0.2,-24.68
-0.1,-49.92
0,1.
0.1,50.08
0.2,25.32
0.3,17.39
0.4,13.78
0.5,12.
0.6,11.21
0.7,11.06
0.8,11.37
0.9,12.04
1.,13.
1.1,14.23
1.2,15.69
1.3,17.37
1.4,19.25
1.5,21.33
1.6,23.61
1.7,26.06
1.8,28.7
1.9,31.51
2.,34.5
2.1,37.66
2.2,40.99
2.3,44.49
2.4,48.16
2.5,52.
2.6,56.
2.7,60.17
2.8,64.51
2.9,69.
3.,73.67
3.1,78.49
3.2,83.48
3.3,88.64
3.4,93.95
3.5,99.43
3.6,105.1
3.7,110.9
3.8,116.8
3.9,123.
4.,129.2
4.1,135.7
4.2,142.3
4.3,149.1
4.4,156.
4.5,163.1
4.6,170.4
4.7,177.8
4.8,185.4
4.9,193.1
5.,201.
