"""""*""a""","""""*""b""","""""*""a""","""""*""b"""
"5*""""","7*""""","5*""""","7*"""""
"""""*""x""","""""*""f(x;a,b)""","""""*""x""","""""*""f(x;a,b)"""
"-5.`2.*""""","-176.`2.*""""","-5.`2.*""""","-176.`2.*"""""
"-4.9000000000000003553`2.*""""","-169.0904081632653515044`2.*""""","-4.9000000000000003553`2.*""""","-169.0904081632653515044`2.*"""""
"-4.7999999999999998224`2.*""""","-162.3216666666666583296`2.*""""","-4.7999999999999998224`2.*""""","-162.3216666666666583296`2.*"""""
"-4.7000000000000001776`2.*""""","-155.6938297872340797312`2.*""""","-4.7000000000000001776`2.*""""","-155.6938297872340797312`2.*"""""
"-4.5999999999999996447`2.*""""","-149.2069565217391016176`2.*""""","-4.5999999999999996447`2.*""""","-149.2069565217391016176`2.*"""""
"-4.5`2.*""""","-142.8611111111111142691`2.*""""","-4.5`2.*""""","-142.8611111111111142691`2.*"""""
"-4.4000000000000003553`2.*""""","-136.6563636363636362603`2.*""""","-4.4000000000000003553`2.*""""","-136.6563636363636362603`2.*"""""
"-4.2999999999999998224`2.*""""","-130.5927906976743884115`2.*""""","-4.2999999999999998224`2.*""""","-130.5927906976743884115`2.*"""""
"-4.2000000000000001776`2.*""""","-124.6704761904761937785`2.*""""","-4.2000000000000001776`2.*""""","-124.6704761904761937785`2.*"""""
"-4.0999999999999996447`2.*""""","-118.8895121951219380207`2.*""""","-4.0999999999999996447`2.*""""","-118.8895121951219380207`2.*"""""
"-4.`2.*""""","-113.25`2.*""""","-4.`2.*""""","-113.25`2.*"""""
"-3.8999999999999999112`2.*""""","-107.7520512820512834651`2.*""""","-3.8999999999999999112`2.*""""","-107.7520512820512834651`2.*"""""
"-3.7999999999999998224`2.*""""","-102.3957894736842035854`2.*""""","-3.7999999999999998224`2.*""""","-102.3957894736842035854`2.*"""""
"-3.7000000000000001776`2.*""""","-97.1813513513513669295`2.*""""","-3.7000000000000001776`2.*""""","-97.1813513513513669295`2.*"""""
"-3.5999999999999996447`2.*""""","-92.1088888888888703832`2.*""""","-3.5999999999999996447`2.*""""","-92.1088888888888703832`2.*"""""
"-3.5`2.*""""","-87.1785714285714306016`2.*""""","-3.5`2.*""""","-87.1785714285714306016`2.*"""""
"-3.3999999999999999112`2.*""""","-82.3905882352941034696`2.*""""","-3.3999999999999999112`2.*""""","-82.3905882352941034696`2.*"""""
"-3.2999999999999998224`2.*""""","-77.7451515151515053503`2.*""""","-3.2999999999999998224`2.*""""","-77.7451515151515053503`2.*"""""
"-3.2000000000000001776`2.*""""","-73.2425000000000068212`2.*""""","-3.2000000000000001776`2.*""""","-73.2425000000000068212`2.*"""""
"-3.0999999999999996447`2.*""""","-68.8829032258064302141`2.*""""","-3.0999999999999996447`2.*""""","-68.8829032258064302141`2.*"""""
"-3.`2.*""""","-64.6666666666666714036`2.*""""","-3.`2.*""""","-64.6666666666666714036`2.*"""""
"-2.8999999999999999112`2.*""""","-60.5941379310344885312`2.*""""","-2.8999999999999999112`2.*""""","-60.5941379310344885312`2.*"""""
"-2.7999999999999998224`2.*""""","-56.6657142857142801518`2.*""""","-2.7999999999999998224`2.*""""","-56.6657142857142801518`2.*"""""
"-2.6999999999999997335`2.*""""","-52.8818518518518416727`2.*""""","-2.6999999999999997335`2.*""""","-52.8818518518518416727`2.*"""""
"-2.5999999999999996447`2.*""""","-49.2430769230769129763`2.*""""","-2.5999999999999996447`2.*""""","-49.2430769230769129763`2.*"""""
"-2.5`2.*""""","-45.75`2.*""""","-2.5`2.*""""","-45.75`2.*"""""
"-2.3999999999999999112`2.*""""","-42.403333333333335986`2.*""""","-2.3999999999999999112`2.*""""","-42.403333333333335986`2.*"""""
"-2.2999999999999998224`2.*""""","-39.2039130434782521206`2.*""""","-2.2999999999999998224`2.*""""","-39.2039130434782521206`2.*"""""
"-2.1999999999999997335`2.*""""","-36.1527272727272688257`2.*""""","-2.1999999999999997335`2.*""""","-36.1527272727272688257`2.*"""""
"-2.0999999999999996447`2.*""""","-33.2509523809523699356`2.*""""","-2.0999999999999996447`2.*""""","-33.2509523809523699356`2.*"""""
"-2.`2.*""""","-30.5`2.*""""","-2.`2.*""""","-30.5`2.*"""""
"-1.8999999999999999112`2.*""""","-27.9015789473684208133`2.*""""","-1.8999999999999999112`2.*""""","-27.9015789473684208133`2.*"""""
"-1.7999999999999998224`2.*""""","-25.4577777777777747303`2.*""""","-1.7999999999999998224`2.*""""","-25.4577777777777747303`2.*"""""
"-1.6999999999999997335`2.*""""","-23.171176470588228824`2.*""""","-1.6999999999999997335`2.*""""","-23.171176470588228824`2.*"""""
"-1.5999999999999996447`2.*""""","-21.0449999999999910472`2.*""""","-1.5999999999999996447`2.*""""","-21.0449999999999910472`2.*"""""
"-1.5`2.*""""","-19.0833333333333321491`2.*""""","-1.5`2.*""""","-19.0833333333333321491`2.*"""""
"-1.3999999999999999112`2.*""""","-17.2914285714285718143`2.*""""","-1.3999999999999999112`2.*""""","-17.2914285714285718143`2.*"""""
"-1.2999999999999998224`2.*""""","-15.6761538461538432188`2.*""""","-1.2999999999999998224`2.*""""","-15.6761538461538432188`2.*"""""
"-1.1999999999999997335`2.*""""","-14.2466666666666625929`2.*""""","-1.1999999999999997335`2.*""""","-14.2466666666666625929`2.*"""""
"-1.0999999999999996447`2.*""""","-13.0154545454545420569`2.*""""","-1.0999999999999996447`2.*""""","-13.0154545454545420569`2.*"""""
"-1.`2.*""""","-12.`2.*""""","-1.`2.*""""","-12.`2.*"""""
"-0.8999999999999994671`2.*""""","-11.2255555555555517344`2.*""""","-0.8999999999999994671`2.*""""","-11.2255555555555517344`2.*"""""
"-0.7999999999999998224`2.*""""","-10.72999999999999865`2.*""""","-0.7999999999999998224`2.*""""","-10.72999999999999865`2.*"""""
"-0.7000000000000001776`2.*""""","-10.5728571428571420654`2.*""""","-0.7000000000000001776`2.*""""","-10.5728571428571420654`2.*"""""
"-0.5999999999999996447`2.*""""","-10.8533333333333352755`2.*""""","-0.5999999999999996447`2.*""""","-10.8533333333333352755`2.*"""""
"-0.5`2.*""""","-11.75`2.*""""","-0.5`2.*""""","-11.75`2.*"""""
"-0.3999999999999994671`2.*""""","-13.6200000000000152056`2.*""""","-0.3999999999999994671`2.*""""","-13.6200000000000152056`2.*"""""
"-0.2999999999999998224`2.*""""","-17.2966666666666739616`2.*""""","-0.2999999999999998224`2.*""""","-17.2966666666666739616`2.*"""""
"-0.1999999999999992895`2.*""""","-25.280000000000086402`2.*""""","-0.1999999999999992895`2.*""""","-25.280000000000086402`2.*"""""
"-0.0999999999999996447`2.*""""","-50.0700000000001779199`2.*""""","-0.0999999999999996447`2.*""""","-50.0700000000001779199`2.*"""""
0,"1.`2.*""""",0,"1.`2.*"""""
"0.1000000000000005329`2.*""""","49.9299999999997297095`2.*""""","0.1000000000000005329`2.*""""","49.9299999999997297095`2.*"""""
"0.2000000000000001776`2.*""""","24.7199999999999775468`2.*""""","0.2000000000000001776`2.*""""","24.7199999999999775468`2.*"""""
"0.3000000000000007105`2.*""""","16.0366666666666262131`2.*""""","0.3000000000000007105`2.*""""","16.0366666666666262131`2.*"""""
"0.4000000000000003553`2.*""""","11.3799999999999883471`2.*""""","0.4000000000000003553`2.*""""","11.3799999999999883471`2.*"""""
"0.5`2.*""""","8.25`2.*""""","0.5`2.*""""","8.25`2.*"""""
"0.6000000000000005329`2.*""""","5.8133333333333201409`2.*""""","0.6000000000000005329`2.*""""","5.8133333333333201409`2.*"""""
"0.7000000000000001776`2.*""""","3.712857142857138637`2.*""""","0.7000000000000001776`2.*""""","3.712857142857138637`2.*"""""
"0.8000000000000007105`2.*""""","1.7699999999999871392`2.*""""","0.8000000000000007105`2.*""""","1.7699999999999871392`2.*"""""
"0.9000000000000003553`2.*""""","-0.114444444444450788`2.*""""","0.9000000000000003553`2.*""""","-0.114444444444450788`2.*"""""
"1.`2.*""""","-2.`2.*""""","1.`2.*""""","-2.`2.*"""""
"1.1000000000000005329`2.*""""","-3.9245454545454645512`2.*""""","1.1000000000000005329`2.*""""","-3.9245454545454645512`2.*"""""
"1.2000000000000001776`2.*""""","-5.9133333333333357729`2.*""""","1.2000000000000001776`2.*""""","-5.9133333333333357729`2.*"""""
"1.3000000000000007105`2.*""""","-7.983846153846170246`2.*""""","1.3000000000000007105`2.*""""","-7.983846153846170246`2.*"""""
"1.4000000000000003553`2.*""""","-10.1485714285714365701`2.*""""","1.4000000000000003553`2.*""""","-10.1485714285714365701`2.*"""""
"1.5`2.*""""","-12.4166666666666678509`2.*""""","1.5`2.*""""","-12.4166666666666678509`2.*"""""
"1.6000000000000005329`2.*""""","-14.7950000000000123634`2.*""""","1.6000000000000005329`2.*""""","-14.7950000000000123634`2.*"""""
"1.7000000000000001776`2.*""""","-17.2888235294117684759`2.*""""","1.7000000000000001776`2.*""""","-17.2888235294117684759`2.*"""""
"1.8000000000000007105`2.*""""","-19.9022222222222424648`2.*""""","1.8000000000000007105`2.*""""","-19.9022222222222424648`2.*"""""
"1.9000000000000003553`2.*""""","-22.6384210526315889922`2.*""""","1.9000000000000003553`2.*""""","-22.6384210526315889922`2.*"""""
"2.`2.*""""","-25.5`2.*""""","2.`2.*""""","-25.5`2.*"""""
"2.1000000000000005329`2.*""""","-28.4890476190476320539`2.*""""","2.1000000000000005329`2.*""""","-28.4890476190476320539`2.*"""""
"2.2000000000000001776`2.*""""","-31.6072727272727291847`2.*""""","2.2000000000000001776`2.*""""","-31.6072727272727291847`2.*"""""
"2.3000000000000007105`2.*""""","-34.856086956521764364`2.*""""","2.3000000000000007105`2.*""""","-34.856086956521764364`2.*"""""
"2.4000000000000003553`2.*""""","-38.2366666666666716878`2.*""""","2.4000000000000003553`2.*""""","-38.2366666666666716878`2.*"""""
"2.5`2.*""""","-41.75`2.*""""","2.5`2.*""""","-41.75`2.*"""""
"2.6000000000000005329`2.*""""","-45.3969230769230946976`2.*""""","2.6000000000000005329`2.*""""","-45.3969230769230946976`2.*"""""
"2.7000000000000001776`2.*""""","-49.1781481481481534956`2.*""""","2.7000000000000001776`2.*""""","-49.1781481481481534956`2.*"""""
