Draga Robert, 

Iti trimit un fisier cu niste date. Am nevoie urgent de sa reprezinti pe 
acelasi grafic trei functii: \beta, \beta_{exp} si d/k. In abscisa avem 
numarul de masa A. Pentru cele trei functii folosesti simboluri diferite. 
De asemenea te rog sa-mi trimiti lucrarea: 
Madey et al., PRC 40, 540 (1989) 

Toate cele bune, 

Apolodor Raduta 


          A       \beta        \beta_{exp}         d/k
          ********************************************

              76.00000        0.26151        0.26271        0.19000

              82.00000        0.12780        0.16832        0.02200

              96.00000        0.13228        0.13492        0.10000

             100.00000        0.17318        0.00855        0.16700

             116.00000        0.07922        0.08237        0.40000

             128.00000        0.12322        0.14515        0.21250

             130.00000        0.13358        0.12938        0.17500

             150.00000        0.09559        0.13084        0.69700
